DESCRIPTION,PARKING_ZONE,PERMIT_ZONE,STALL_TYPE,STATUS,ADDRESS_DESC,CTP_CLASS,DOT,ENFORCEABLE_TIME,NO_PARKING,NO_STOPPING,PARKING_RESTRICTION,TIME_RESTRICTION,CAMERA,OCTANT,line,Global_ID
R5858,E,E,Parallel,Active,3200 Block MORLEY TR NW,Collector,E,0700-1700 MON-FRI,,,60,0700-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1164581 51.0797605, -114.1176813 51.0803808))",7652c2c7-9d57-400b-9b27-350969fbf939
R5919,BB,BB,Parallel,Active,3800 Block BRIGHTON DR NW,Residential Street,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1190002 51.0878683, -114.1190121 51.0878821, -114.1190275 51.0878945, -114.1190459 51.0879051, -114.1190669 51.0879137, -114.1190899 51.0879199, -114.1190974 51.0879215, -114.1194631 51.0879986))",65d8673d-df90-4032-a989-86eb85cecdac
R5923,BB,BB,Parallel,Active,3800 Block BRIGHTON DR NW,Residential Street,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1195678 51.0880207, -114.1199334 51.0880977, -114.1199421 51.0880995, -114.1199709 51.088104, -114.1200005 51.0881055, -114.1200301 51.0881039, -114.1200377 51.088103))",50e20fd3-744b-417f-b915-412ac91ea917
R6028,AA,AA,Parallel,Active,00 Block CAWDER DR NW,Residential Street,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.0961488 51.0853367, -114.0961659 51.0853567, -114.0962122 51.0853908, -114.0962616 51.0854188, -114.0963567 51.0854721, -114.096426 51.0855099, -114.0964872 51.085544, -114.0965205 51.0855627, -114.0965395 51.0855714, -114.0965535 51.0855772, -114.0965688 51.0855839, -114.0965861 51.0855885, -114.0966011 51.0855919, -114.0966216 51.0855957, -114.0966425 51.0855975, -114.0966636 51.0855985, -114.0966845 51.085599, -114.0967052 51.0855985, -114.0967281 51.0855955))",08b64805-e79a-432a-a809-d4922f133ace
R6057,Y,Y,Parallel,Active,00 Block VARMOOR PL NW,Residential Street,E,0700-1700 MON-FRI,,,60,0700-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1419506 51.082073, -114.1419502 51.0820647, -114.141952 51.0820512, -114.1419568 51.0820412, -114.1419644 51.0820302, -114.141973 51.0820191, -114.1419809 51.0820095, -114.1419884 51.0820024, -114.1419986 51.0819955, -114.1420089 51.0819889, -114.1420196 51.0819837, -114.1420215 51.0819833, -114.1420248 51.0819827, -114.1420329 51.0819792, -114.1420513 51.0819743, -114.14207 51.08197, -114.1420893 51.0819668, -114.1421053 51.0819656, -114.1421211 51.0819655, -114.1421381 51.0819678, -114.1421568 51.081971, -114.1421761 51.0819752, -114.1421864 51.0819775, -114.1422766 51.0819983, -114.1423268 51.0820099, -114.1423495 51.0820151, -114.1423498 51.0820151, -114.1423642 51.0820183, -114.1423776 51.082021, -114.1423952 51.0820227, -114.1424083 51.0820241, -114.1424225 51.082025, -114.14244 51.0820256, -114.1424567 51.0820259, -114.1424742 51.0820261, -114.1424867 51.082026, -114.1424926 51.0820259, -114.1425835 51.0820259, -114.1427137 51.0820256, -114.1428295 51.0820262, -114.1429788 51.0820271, -114.1431077 51.0820277, -114.1432554 51.0820282, -114.1433942 51.0820281, -114.1435127 51.0820279, -114.1436514 51.0820274, -114.143658 51.0820274))",19e9849c-2225-4708-bb98-b32f9eb46819
R608,RCK,RCK,Parallel,Active,4400 Block 13 AV SW,Residential Street,E,0700-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1499356 51.0414787, -114.1501343 51.041479, -114.1504332 51.04148, -114.1504346 51.04148))",a3d2cb8a-c387-4866-9922-4a8cb4f1b7f7
R6089,Y,Y,Parallel,Active,3500 Block VARSITY DR NW,Collector,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1365065 51.0883009, -114.1365166 51.0883063, -114.1365356 51.0883159, -114.136564 51.0883253, -114.1365715 51.0883273, -114.1366052 51.088335, -114.136641 51.0883396, -114.1366663 51.0883414, -114.1366939 51.0883419, -114.136725 51.0883419, -114.1368716 51.0883421, -114.137053 51.0883418, -114.1372434 51.0883411))",7cdb8b4d-c0e9-4e89-96af-f156b6481062
R6092,Y,Y,Parallel,Active,3600 Block VARSITY DR NW,Collector,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1376119 51.0883258, -114.1376176 51.0883283, -114.1376237 51.0883306, -114.1376294 51.0883326, -114.1376351 51.0883343, -114.137641 51.0883358, -114.137647 51.0883372, -114.1376531 51.0883384, -114.1376587 51.0883395, -114.1376643 51.0883406, -114.13767 51.0883415, -114.1376757 51.0883421, -114.1376814 51.0883424, -114.1376892 51.0883425, -114.137697 51.0883425, -114.1377047 51.0883426, -114.1377125 51.0883427, -114.1377203 51.0883427, -114.137989 51.0883432, -114.1380198 51.0883416))",2d66e3d9-583c-40bd-9501-0259d2210031
R6107,Y,Y,Parallel,Active,4000 Block VINCENT DR NW,Residential Street,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1446135 51.0891173, -114.1446652 51.0891174, -114.1448064 51.0891174, -114.1450404 51.0891172, -114.1452419 51.089116, -114.1453882 51.0891171, -114.1455251 51.0891176, -114.1455955 51.0891176, -114.1459896 51.089118, -114.1465245 51.0891185, -114.1466262 51.0891184, -114.1467992 51.0891185, -114.1469218 51.0891186, -114.1470468 51.0891179, -114.1470543 51.0891174, -114.1470619 51.0891168, -114.1470694 51.0891162, -114.147077 51.0891157, -114.1470845 51.0891151, -114.1471561 51.0890865, -114.1471601 51.0890832, -114.1471637 51.0890796, -114.147167 51.0890759, -114.1471703 51.0890722, -114.1471734 51.0890685))",05678455-007d-4db9-8942-299af6feb881
R6110,Y,Y,Parallel,Active,3900 Block VINCENT DR NW,Residential Street,E,0700-1700 MON-FRI,,,120,0700-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1424865 51.0893815, -114.1425099 51.0893832, -114.1425424 51.089381, -114.1425668 51.0893761, -114.1425712 51.0893752, -114.1425999 51.0893656, -114.1426262 51.0893523, -114.1426499 51.0893349, -114.1426738 51.0893198, -114.1426976 51.0893057, -114.1427392 51.0892824, -114.142802 51.089252, -114.1428633 51.0892258, -114.1428912 51.0892151))",b20f7970-89ed-4c11-b2af-046daedf244d
